strategy_id,strategy_base_id,strategy_name,strategy_base_name,strategy_kind,pool_id,pool_name,sample_start,sample_end,sample_tag,sample_label,sample_short_label,is_primary_sample,stock_count,base_weight_method,base_weight_name,core_source_mode,core_source_name,core_ratio,explore_ratio,pure_core_max_holdings,total_return,cagr,max_drawdown,annual_volatility,sharpe_ratio,monthly_win_rate,average_annual_turnover,cumulative_trading_cost
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_confirm2_v5__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_confirm2_v5,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌确认两周55%脉冲v5) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌确认两周55%脉冲v5),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.58307406,0.17170822,-0.31802756,0.25573947,0.71031829,0.49565217,2.76755203,0.07218153
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse65_40_retrigger_v6__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse65_40_retrigger_v6,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌65%至40%持续恶化分级脉冲v6) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌65%至40%持续恶化分级脉冲v6),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.38111302,0.16622459,-0.31574520,0.25144038,0.69968229,0.49565217,3.38737844,0.08894125
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_1w_cd8_v7__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_1w_cd8_v7,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周55%长冷却v7) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周55%长冷却v7),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.35786719,0.16557896,-0.28378791,0.25098337,0.69494783,0.49565217,2.88331284,0.07358450
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_2w_v8__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_2w_v8,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌两周55%脉冲v8) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌两周55%脉冲v8),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.19636754,0.16100632,-0.29215128,0.24829427,0.68595830,0.49565217,3.08217653,0.07721918
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_confirm2_v5__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_confirm2_v5,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌确认两周55%脉冲v5) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌确认两周55%脉冲v5),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,2.00191943,0.18095353,-0.31158507,0.30212247,0.65214855,0.49367089,3.10643337,0.04198273
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_1w_cd8_v7__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_1w_cd8_v7,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周55%长冷却v7) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周55%长冷却v7),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.78068538,0.16735338,-0.27873772,0.29696184,0.61691055,0.49367089,3.23519907,0.04174218
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse65_40_retrigger_v6__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse65_40_retrigger_v6,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌65%至40%持续恶化分级脉冲v6) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌65%至40%持续恶化分级脉冲v6),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.73246728,0.16426784,-0.31023911,0.29802924,0.60900588,0.48101266,3.70312994,0.04809393
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_2w_v8__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_2w_v8,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌两周55%脉冲v8) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌两周55%脉冲v8),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.71924806,0.16341385,-0.28645829,0.29391291,0.60944974,0.49367089,3.36576191,0.04242090
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_confirm2_v5__since_2023_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_confirm2_v5,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌确认两周55%脉冲v5) (2023-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌确认两周55%脉冲v5),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2023-01-01,2026-08-11,since_2023_01,2023-01 起,2023-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.77898573,0.17308343,-0.31673524,0.34007267,0.53573216,0.55813953,2.87519791,0.01393196
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_1w_cd8_v7__since_2023_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_1w_cd8_v7,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周55%长冷却v7) (2023-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周55%长冷却v7),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2023-01-01,2026-08-11,since_2023_01,2023-01 起,2023-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.75329250,0.16836356,-0.29067472,0.34082997,0.51730652,0.55813953,3.05833734,0.01473659
