strategy_id,strategy_base_id,strategy_name,strategy_base_name,strategy_kind,pool_id,pool_name,sample_start,sample_end,sample_tag,sample_label,sample_short_label,is_primary_sample,stock_count,base_weight_method,base_weight_name,core_source_mode,core_source_name,core_ratio,explore_ratio,pure_core_max_holdings,total_return,cagr,max_drawdown,annual_volatility,sharpe_ratio,monthly_win_rate,average_annual_turnover,cumulative_trading_cost
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse65_1w_v4__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse65_1w_v4,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周65%脉冲v4) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周65%脉冲v4),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.99674262,0.18229531,-0.29962974,0.25587604,0.74361295,0.50434783,3.17625499,0.08766689
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_1w_v3__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_1w_v3,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周55%脉冲v3) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周55%脉冲v3),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.94985872,0.18113573,-0.28378791,0.25199720,0.74650947,0.51304348,3.03935538,0.08316610
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_drawdown_v1__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_drawdown_v1,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(全组合快跌回撤触发v1) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(全组合快跌回撤触发v1),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.08438761,0.15774227,-0.26152875,0.20749277,0.75236911,0.50434783,3.18377651,0.08047215
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_combined_v1__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_combined_v1,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(全组合快跌与弱宽度联合触发v1) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(全组合快跌与弱宽度联合触发v1),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,2.94965115,0.15370690,-0.26152875,0.21086841,0.72689493,0.51304348,3.60969302,0.09137542
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_early_balanced_v2__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_early_balanced_v2,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(全组合提前联合触发中等降仓v2) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(全组合提前联合触发中等降仓v2),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.97326951,0.12010494,-0.26129079,0.22660738,0.55027694,0.49565217,4.35356322,0.10182300
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_breadth_v1__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_breadth_v1,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(全组合弱宽度触发v1) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(全组合弱宽度触发v1),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.56863939,0.04797736,-0.10115869,0.10818183,0.46283362,0.49565217,2.27400124,0.03900862
core_explore_80_20_equal_weight_winner_core__path7_crash_resilience_cash50_static_fast_pulse_v3_defbar__since_2017_01,core_explore_80_20_equal_weight_winner_core__path7_crash_resilience_cash50_static_fast_pulse_v3_defbar,核心80_探索20_等权底座_胜出者核心__Path7防守杠铃(常态50%周频进攻/快跌15%脉冲v3) (2017-01 起),核心80_探索20_等权底座_胜出者核心__Path7防守杠铃(常态50%周频进攻/快跌15%脉冲v3),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,equal_weight,等权底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.26704573,0.02494272,-0.11350028,0.05874985,0.45449936,0.55600815,1.81955115,0.02874483
core_explore_80_20_equal_weight_winner_core__path7_crash_resilience_cash50_weekly50_fast_combined_v2_defbar__since_2017_01,core_explore_80_20_equal_weight_winner_core__path7_crash_resilience_cash50_weekly50_fast_combined_v2_defbar,核心80_探索20_等权底座_胜出者核心__Path7防守杠铃(50%现金/50%周频进攻v2) (2017-01 起),核心80_探索20_等权底座_胜出者核心__Path7防守杠铃(50%现金/50%周频进攻v2),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,equal_weight,等权底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.13645298,0.01340332,-0.14740061,0.05929234,0.25683904,0.54582485,1.40030352,0.02165960
core_explore_80_20_equal_weight_winner_core__path7_crash_resilience_cash70_weekly30_fast_combined_v1_defbar__since_2017_01,core_explore_80_20_equal_weight_winner_core__path7_crash_resilience_cash70_weekly30_fast_combined_v1_defbar,核心80_探索20_等权底座_胜出者核心__Path7防守杠铃(70%现金/30%周频进攻v1) (2017-01 起),核心80_探索20_等权底座_胜出者核心__Path7防守杠铃(70%现金/30%周频进攻v1),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,equal_weight,等权底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.12915093,0.01272359,-0.09752974,0.04025317,0.33925863,0.53767821,1.12001993,0.01717431
core_explore_60_40_equal_weight_winner_core__growth_elastic_v70_port_fast_crash_drawdown_v1__since_2017_01,core_explore_60_40_equal_weight_winner_core__growth_elastic_v70_port_fast_crash_drawdown_v1,核心60_探索40_等权底座_胜出者核心__Path2高弹性v70(全组合快跌回撤触发v1) (2017-01 起),核心60_探索40_等权底座_胜出者核心__Path2高弹性v70(全组合快跌回撤触发v1),core_explore,growth_elastic,Path2 高弹性赢家池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,equal_weight,等权底座,winner_core,胜出者核心,0.60000000,0.40000000,0,0.11834202,0.01171016,-0.33076581,0.19646939,0.16027339,0.52032520,6.49777268,0.10259811
