strategy_id,strategy_base_id,strategy_name,strategy_base_name,strategy_kind,pool_id,pool_name,sample_start,sample_end,sample_tag,sample_label,sample_short_label,is_primary_sample,stock_count,base_weight_method,base_weight_name,core_source_mode,core_source_name,core_ratio,explore_ratio,pure_core_max_holdings,total_return,cagr,max_drawdown,annual_volatility,sharpe_ratio,monthly_win_rate,average_annual_turnover,cumulative_trading_cost
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse475_1w_v19__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse475_1w_v19,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周47.5%边界v19) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周47.5%边界v19),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.75462250,0.17619860,-0.27318566,0.24983528,0.73342404,0.51304348,3.11665701,0.08447795
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse45_1w_v18__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse45_1w_v18,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周45%深防守v18) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周45%深防守v18),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.74779967,0.17602280,-0.26939369,0.24954634,0.73321254,0.51304348,3.17387545,0.08625298
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse40_1w_v17__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse40_1w_v17,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周40%深防守v17) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周40%深防守v17),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.74448087,0.17593721,-0.26181020,0.24914732,0.73345378,0.52173913,3.38431162,0.09234228
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse30_1w_v16__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse30_1w_v16,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周30%深防守v16) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周30%深防守v16),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.52131064,0.17005460,-0.24664491,0.24837154,0.71409599,0.52173913,3.80360170,0.10211668
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse25_1w_v15__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse25_1w_v15,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周25%深防守v15) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周25%深防守v15),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.48378068,0.16903988,-0.23906311,0.24800053,0.71106175,0.52173913,4.01524236,0.10760417
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse15_1w_v14__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse15_1w_v14,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周15%深防守v14) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周15%深防守v14),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.34436014,0.16520240,-0.24361649,0.24753749,0.69820651,0.53043478,4.46102322,0.11761540
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse0_1w_v13__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse0_1w_v13,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周空仓边界v13) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周空仓边界v13),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,2.54961562,0.14095388,-0.26436504,0.24682980,0.61308263,0.53913043,5.18669362,0.12154042
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse475_1w_v19__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse475_1w_v19,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周47.5%边界v19) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周47.5%边界v19),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.84056099,0.17112232,-0.26823509,0.29593146,0.62853669,0.49367089,3.45216294,0.04482296
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse45_1w_v18__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse45_1w_v18,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周45%深防守v18) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周45%深防守v18),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.81573545,0.16956791,-0.26447441,0.29552254,0.62427534,0.50632911,3.55383332,0.04594054
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse40_1w_v17__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse40_1w_v17,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周40%深防守v17) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周40%深防守v17),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.80793451,0.16907707,-0.25695348,0.29497920,0.62318666,0.50632911,3.82584049,0.04921922
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse30_1w_v16__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse30_1w_v16,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周30%深防守v16) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周30%深防守v16),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.70245399,0.16232383,-0.24191328,0.29417962,0.60362192,0.51898734,4.32164379,0.05426710
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse25_1w_v15__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse25_1w_v15,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周25%深防守v15) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周25%深防守v15),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.67874311,0.16077504,-0.23932687,0.29380196,0.59921793,0.51898734,4.56464196,0.05687637
